frb,n_sersic_components,single_sersic,host_number,snr_win,snr_auto,chi2nu,mag,mag_err,re,re_err,n,n_err,b_a,b_a_err,pa,pa_err,x,x_err,y,y_err,inc,inc_err,zp_ok,ref_survey,ref_mag,ref_mag_err,ref_sep_arcsec,mag_final,mag_final_err,mag_final_source,parse_strategy,fit_log_path
20231120A,1,True,172,15.538463,22.026900744590908,4.263,15.47,0.0,30.04,0.08,1.91,0.01,0.25,0.0,28.35,0.03,66.15,0.01,155.76,0.01,81.1938,0.0,True,LS_DR10,15.4409,0.0007,0.102,15.47,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20231120A_all/fit.log
20231123B,1,True,703,5.2551394,6.14546479905141,1.036,18.59,0.0,12.01,0.07,0.7,0.01,0.38,0.0,21.45,0.18,33.56,0.02,43.98,0.04,70.745,0.0,True,LS_DR10,18.3998,0.005,0.164,18.59,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20231123B_all/fit.log
20231220A,1,True,320,2.3611312,2.6368400512080834,0.773,20.22,0.01,4.14,0.08,0.57,0.1,0.21,0.04,-27.17,1.03,27.61,0.03,29.99,0.04,86.253,4.4031,True,LS_DR10,20.0701,0.0148,0.027,20.22,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20231220A_all/fit.log
20231226A,1,True,462,2.671635,2.9995466600852025,1.105,18.54,0.01,8.03,0.09,0.65,0.02,0.76,0.01,-17.41,1.45,35.03,0.04,32.93,0.06,41.5539,0.9139,True,LS_DR10,18.85,0.0051,0.081,18.54,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20231226A_all/fit.log
20240119A,1,True,453,1.2078255,1.1497859889332054,0.652,21.44,0.03,5.19,0.28,0.5,0.2,0.75,0.05,-75.89,8.39,25.56,0.18,24.65,0.15,42.4601,4.5152,True,LS_DR10,21.2633,0.0528,0.072,21.44,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240119A_all/fit.log
20240201A,1,True,394,6.2077103,7.587563905118067,1.428,16.94,0.0,18.5,0.06,0.61,0.01,0.18,0.0,62.2,0.05,59.41,0.04,40.43,0.02,90.0,0.0,True,LS_DR10,16.9403,0.0014,0.163,16.94,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240201A_all/fit.log
20240208A,1,True,949,0.9797422,1.0671520539619133,0.74,21.62,0.02,2.79,0.12,1.45,0.28,0.28,0.04,66.21,1.72,26.83,0.05,25.25,0.03,78.463,3.4945,True,LS_DR10,21.7133,0.0076,0.038,21.62,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240208A_all/fit.log
20240210A,1,True,280,16.037827,22.062412455068632,14.68,14.5,0.0,27.7,0.05,1.0,0.0,0.59,0.0,57.3,0.09,166.02,0.02,94.81,0.01,55.4925,0.0,True,LS_DR10,14.894,0.0002,0.206,14.5,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240210A_all/fit.log
20240213A,1,True,348,6.0695,7.253624710315084,2.022,18.35,0.0,9.63,0.03,0.51,0.01,0.24,0.0,-40.85,0.09,40.36,0.01,44.23,0.02,82.2182,0.0,True,LS_DR10,18.2786,0.0025,0.093,18.35,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240213A_all/fit.log
20240215A,1,True,795,2.711693,3.1230845883856944,0.761,20.06,0.01,3.11,0.06,2.03,0.18,0.48,0.02,20.73,1.12,29.1,0.02,33.25,0.02,63.5545,1.4374,True,LS_DR10,20.0057,0.0093,0.013,20.06,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240215A_all/fit.log
20240229A,1,True,572,1.9494268,2.150786148548979,0.734,20.84,0.12,2.13,0.26,6.0,2.87,0.63,0.07,-78.28,6.21,27.42,0.06,26.74,0.06,52.43,5.4711,True,LS_DR10,20.9442,0.0216,0.036,20.84,0.12,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240229A_all/fit.log
20240304A,1,True,541,1.3237652,1.4182158774766733,0.712,20.81,0.04,3.56,0.15,1.24,0.21,0.66,0.04,20.03,4.55,24.73,0.06,26.03,0.08,50.0636,3.2065,True,LS_DR10,20.8021,0.0139,0.054,20.81,0.04,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240304A_all/fit.log
20240310A,1,True,865,1.557957,1.8666392559158993,0.781,19.67,0.01,3.51,0.03,0.76,0.05,0.1,0.03,-13.59,0.43,26.72,0.01,30.56,0.02,90.0,6.6567,True,LS_DR10,20.0507,0.0038,0.059,19.67,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240310A_all/fit.log
20240318A,1,True,544,3.3929145,3.9369674981128058,0.811,18.47,0.01,9.64,0.08,0.7,0.02,0.43,0.0,-6.86,0.32,30.27,0.02,38.31,0.05,67.1384,0.0,True,LS_DR10,18.7987,0.0061,0.092,18.47,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20240318A_all/fit.log
