objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
6115,6.938873699110397,-5.824907334613776,REX,0.4648259,0.6093886,0.9736488,0.23681699,LS_DR10
5834,6.932579188469462,-5.820744329830926,EXP,0.28280583,0.63989675,2.303128,1.7312058,LS_DR10
5831,6.932556592133182,-5.818960917705202,PSF,0.05093553,0.0875426,0.25089663,0.0,LS_DR10
5914,6.934532266357348,-5.820583155719545,REX,0.18525304,0.32660586,1.0480533,0.4357351,LS_DR10
5935,6.935028141672056,-5.819891949201656,PSF,0.07247589,0.05882945,0.1349868,0.0,LS_DR10
6072,6.9379466275061,-5.822184091144456,REX,0.083873585,0.19315025,0.5038717,0.3145426,LS_DR10
6025,6.936991139533249,-5.819440032747796,PSF,0.04898657,0.10416991,0.2092896,0.0,LS_DR10
6161,6.939822002516979,-5.825280174411258,REX,0.063096665,0.09894746,0.19023702,0.26984924,LS_DR10
6392,6.94520699436884,-5.822992085707812,PSF,0.23406692,0.30072105,0.2212202,0.0,LS_DR10
6132,6.939180200580688,-5.819806148051501,SER,0.5863755,2.5217135,8.657456,1.0448129,LS_DR10
6162,6.939825005406177,-5.81940116376333,PSF,0.039907344,0.089980744,0.13886791,0.0,LS_DR10
6265,6.942250879230221,-5.819991774946886,REX,1.997074,3.9462132,5.287074,0.3408095,LS_DR10
5896,6.933995921051059,-5.818481011551909,EXP,0.26288623,0.310458,0.26474327,1.1700162,LS_DR10
5884,6.933748827782026,-5.817053985929026,REX,0.14113645,0.26039633,0.9310628,0.19912355,LS_DR10
5930,6.934885951496176,-5.815888793932179,PSF,0.047446795,0.08462398,0.1472972,0.0,LS_DR10
6021,6.9369430579145,-5.818154140042952,PSF,0.049868416,0.0794977,-0.011209824,0.0,LS_DR10
6050,6.937620747796691,-5.818810807307907,REX,0.21981782,0.6434655,1.6002206,0.22961022,LS_DR10
6037,6.937263052138517,-5.817098240153292,REX,0.09926775,0.13741562,0.25869456,0.23362836,LS_DR10
6107,6.9387961182812,-5.816725278432357,REX,0.19575576,0.18772288,0.20283933,0.4168858,LS_DR10
6173,6.940038918754404,-5.817455333450388,REX,0.973753,2.4095092,3.8849158,0.9753061,LS_DR10
6241,6.941674705891253,-5.816306489900356,PSF,0.06437987,0.058873344,0.14153758,0.0,LS_DR10
6422,6.946054666298912,-5.81920346424063,PSF,0.21494664,0.3696961,0.46090147,0.0,LS_DR10
