DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r
1.30377,21.46,1.936,0.978,0.259,25.468,22.16,21.426,21.129,20.932,0.2559,4.04,0.741
1.293816,21.4,1.669,0.708,0.209,25.261,22.899,21.323,20.564,20.483,0.4562,3.94,0.791
1.330909,20.717,1.525,0.67,0.67,21.827,21.172,20.631,20.248,19.996,0.3197,1.2,0.32999999999999996
1.327998,20.7,1.442,0.238,0.75,25.891,22.772,20.64,20.186,19.729,0.3796,5.25,0.25
1.325591,20.307,4.37,1.019,0.6,23.0,21.976,20.315,19.802,19.353,0.3647,2.68,0.4
1.228513,17.403,4.635,2.967,0.721,18.837,17.662,17.227,16.986,16.824,0.0472,1.61,0.279
1.242436,16.831,7.87,10.94,0.689,18.438,17.279,16.876,16.608,16.409,0.0417,1.56,0.31100000000000005
1.237227,19.809,3.851,2.228,0.336,20.722,19.858,19.614,19.222,19.227,0.1072,1.11,0.6639999999999999
1.234252,21.565,1.414,0.263,0.8,22.42,22.016,21.442,21.325,22.704,0.1491,0.98,0.19999999999999996
1.227787,20.034,2.005,0.708,0.657,24.064,21.455,19.994,19.604,19.286,0.2858,4.07,0.34299999999999997
1.230229,19.747,3.015,2.238,0.958,21.536,21.26,19.782,19.272,18.818,0.402,1.75,0.04200000000000004
1.232466,21.58,2.409,1.123,0.595,24.756,23.736,21.698,21.128,19.958,0.4699,3.06,0.405
1.229443,20.789,3.14,1.65,0.731,25.952,21.897,20.567,19.984,19.325,0.4174,5.39,0.269
1.234994,21.188,2.971,2.833,0.16,22.509,21.492,21.023,20.832,20.704,0.2057,1.49,0.84
1.222064,21.554,2.263,1.226,0.15,22.613,22.61,21.555,21.297,21.314,0.4556,1.06,0.85
1.234482,21.779,1.774,0.764,0.37,23.459,22.448,21.56,20.913,20.909,0.5309,1.9,0.63
1.226667,21.463,7.361,1.514,0.245,23.685,21.943,21.534,21.155,21.174,0.2037,2.15,0.755
1.224604,21.333,1.507,0.956,0.109,22.538,21.878,21.065,20.884,20.159,0.3847,1.47,0.891
1.257384,20.161,2.067,1.115,0.553,21.486,20.327,20.18,20.027,19.805,0.1161,1.31,0.44699999999999995
1.243142,20.703,3.553,0.384,1.0,24.102,22.077,21.044,20.649,20.077,0.3815,3.06,0.0
