cos_i,00_strict_ba_gt_0p2,01_ur_lt_2p3,02_lnl_exp_wins,03_mag_lt_21
0.925,0.9591519579731385,0.9630748820754716,0.9650957661290323,0.9585902440804115
0.93,0.9612865770339061,0.9647700471698113,0.9669018817204301,0.9618373526943704
0.935,0.9632972961491897,0.9665112765330188,0.9686939964157706,0.9647925863767376
0.9400000000000001,0.9650283553875236,0.967994545990566,0.9700100806451613,0.9666897734320844
0.9450000000000001,0.9665540947161984,0.969459389740566,0.9717601926523297,0.9692436790835127
0.9500000000000001,0.969060413613418,0.9722232458726415,0.9753304211469535,0.9738771936225328
0.9550000000000001,0.9702109131071982,0.9733380011792453,0.976604502688172,0.9758838337772264
0.96,0.9717755924187393,0.9747383549528302,0.9781165994623656,0.9783647706957569
0.965,0.9734924916633036,0.9761755601415094,0.9794886872759857,0.9803714108504505
0.97,0.9749899110044391,0.9776035524764151,0.9808607750896058,0.9823415666386953
0.975,0.9765298103268835,0.9788841391509434,0.9819948476702509,0.9836914881973075
0.98,0.9781440496166182,0.9803121314858491,0.9834229390681004,0.9856616439855522
0.985,0.9796414689577536,0.9815374410377359,0.9845990143369175,0.9870480499106133
0.99,0.9810539283362716,0.9826982606132075,0.985579077060932,0.9878507059724908
