objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237651753460105943,149.545572970116,1.63926940712483,20.95955,22.52563,21.52154,0.5393086,0.4068789,-0.0072064,-0.007290105,3,1,1,1.5660799999999995,0.5619900000000015
1237651753460105906,149.528061035277,1.77645584127129,20.69912,22.76233,21.58944,0.7139413,0.711011,-0.3264847,-0.4579335,3,1,1,2.063209999999998,0.8903199999999991
1237651753460105903,149.528275714227,1.68479129127293,19.87422,22.00193,21.14648,0.6198685,1.274436,-0.4164003,-1.758335,3,1,1,2.1277100000000004,1.2722599999999993
1237651753460105902,149.527982604277,1.64294225525887,21.26196,24.00289,22.38035,0.6638249,0.9389493,-0.08950143,-0.3052081,3,1,1,2.7409300000000023,1.1183900000000015
1237651753460105777,149.482302464851,1.80606710975145,21.14783,23.50252,22.22731,0.6498899,1.147739,-0.09680538,-0.2654197,3,1,1,2.3546900000000015,1.0794800000000002
1237651753460105772,149.48484880773,1.68734755236866,21.14416,22.2064,21.94239,0.2531393,2.197875,-0.4539273,-0.790284,3,1,1,1.0622399999999992,0.7982300000000002
1237651753460105698,149.456548314821,1.70947655346239,21.08402,24.93314,22.61625,0.480794,0.4817333,-0.02001535,-0.02618153,3,1,1,3.8491200000000028,1.532230000000002
1237651753460105622,149.43170475718,1.62120140365003,21.38285,23.20263,21.7981,0.4949912,0.3140689,-0.167491,-0.1947889,3,1,1,1.819779999999998,0.41525000000000034
1237651753460105544,149.54617258306,1.64594568827946,20.93339,21.4924,21.81929,0.3675402,0.7835137,-0.1986655,-0.3792713,3,1,1,0.5590100000000007,0.8858999999999995
1237651753460105316,149.528301096564,1.73405877801101,18.44779,19.53393,19.1883,0.656185,3.035174,-270.9289,-457.4051,3,1,1,1.0861400000000003,0.7405100000000004
1237651736280826459,150.252635918921,1.91273700076557,21.8748,23.94967,22.91337,0.4989782,0.7327125,-0.993536,-1.114863,3,1,1,2.0748700000000007,1.03857
