objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237653665259062352,150.472250853264,2.47991910524528,20.96569,22.69932,22.13524,0.8207749,1.148148,-0.07101519,-0.04035676,3,1,1,1.7336300000000016,1.169550000000001
1237653664721928882,149.831486829377,2.04083257932971,21.24526,22.82136,22.63972,0.8191581,1.304048,-0.07237117,-0.07881254,3,1,1,1.5761000000000003,1.3944600000000023
1237653665259062425,150.52874773778,2.45626490747602,21.95619,25.68008,23.19213,0.05,1.077458,-0.02212818,-0.01164998,3,1,1,3.723890000000001,1.2359399999999994
1237653664721928946,149.928312934664,1.84807231831981,22.12877,22.95956,23.43391,0.8498685,0.5359274,-0.0417376,-0.03800291,3,1,1,0.8307900000000004,1.3051400000000015
1237653664721928950,149.926950546701,2.03966359657182,22.27692,25.54116,23.65849,0.05,0.5475834,-0.4432668,-0.420016,3,1,1,3.264240000000001,1.38157
1237653664721928965,149.950742105505,1.94489953344119,22.32633,25.04868,24.61772,0.05,0.404609,-0.03175786,-0.03044484,3,1,1,2.7223500000000023,2.29139
1237653665259127031,150.687213551996,2.48347999456963,22.26429,24.4412,22.94849,0.4427165,0.392021,-5.515329e-07,-8.517039e-07,3,1,1,2.1769099999999995,0.6842000000000006
1237653664721928966,149.950531890468,1.95543491049178,22.00175,22.97026,23.01072,0.05,0.7924526,-0.01461202,-0.01455149,3,1,1,0.9685099999999984,1.008969999999998
1237653664722125053,150.267738281901,1.9936073969798,20.24218,22.07016,20.69663,0.9947403,0.3142954,-0.1057597,-0.0499097,3,1,1,1.8279800000000002,0.4544499999999978
1237653664722125074,150.309906049175,1.95557416690446,22.07464,22.09702,22.33022,0.167546,0.2441717,-0.7214987,-0.7356759,3,1,1,0.022380000000001843,0.2555800000000019
1237653664722125184,150.266491970373,2.00167167046168,21.68907,23.82139,22.38257,0.1560443,0.73331,-0.1213895,-0.2388558,3,1,1,2.13232,0.6935000000000002
1237653664722125303,150.308619194005,1.9447822680431,22.11443,24.07241,22.81094,0.05,0.299725,-0.6937131,-0.6915936,3,1,1,1.9579800000000027,0.69651
1237653665259127267,150.547714666177,2.472712938342,20.74299,25.11009,22.5653,0.5763524,0.9395838,-0.1015686,-0.01584738,3,1,1,4.367100000000001,1.8223100000000017
1237653665259127268,150.546717050586,2.47277538693901,21.08608,25.32995,21.70055,0.6277896,0.8078419,-0.06649152,-0.0130476,3,1,1,4.243870000000001,0.6144700000000007
1237653665259127322,150.570499084148,2.28777064507112,20.16356,22.87484,21.83937,0.6056804,0.7002499,-0.3619202,-0.07508828,3,1,1,2.7112799999999986,1.6758099999999985
1237653665259127327,150.570716106052,2.38678647250161,21.78423,23.12432,22.11797,0.05,1.329936,-0.01322027,-0.02679806,3,1,1,1.34009,0.3337399999999988
1237653665259127332,150.571834174168,2.39953737401112,21.49742,22.26679,22.24879,0.05,1.786796,-1.511969,-1.299359,3,1,1,0.7693699999999986,0.7513699999999979
1237653665259127401,150.600819820095,2.32747624869718,21.26287,23.40516,22.41831,0.4915304,1.416313,-0.2825494,-0.4412887,3,1,1,2.142289999999999,1.1554400000000022
1237653664722125421,150.35453463115,1.99267976141455,20.53304,23.86246,22.55792,0.789507,0.5234309,-0.2192514,-0.1406214,3,1,1,3.329419999999999,2.0248799999999996
1237653665259127405,150.600233253822,2.38938009218184,21.60066,23.55925,22.55403,0.2155243,1.484721,-0.001151885,-0.004317963,3,1,1,1.9585899999999974,0.9533699999999996
1237653664722125424,150.356068744579,1.98960850922313,22.00418,23.40239,22.58358,0.07066359,0.5260681,-0.03062904,-0.02550971,3,1,1,1.3982099999999988,0.5793999999999997
1237653664722125479,150.382039386075,1.86659962175265,21.71402,22.90437,21.97235,0.1091111,1.094543,-0.6584796,-0.6895736,3,1,1,1.1903499999999987,0.2583299999999973
1237653665259127466,150.623108162475,2.33402852466112,20.84785,25.06829,22.06728,0.7343829,0.9863201,-1.868599,-1.033231,3,1,1,4.22044,1.2194299999999991
1237653665259127467,150.624524875279,2.30758752293226,21.30231,23.31951,22.51449,0.8992894,0.59451,-0.04876741,-0.1190409,3,1,1,2.0172000000000025,1.21218
1237653664722125483,150.381627625493,1.93203215077345,21.0205,22.61727,21.41888,0.7323233,0.4961844,-0.5873323,-0.736155,3,1,1,1.596770000000003,0.39838000000000306
1237653665259127542,150.64541757044,2.28882391249894,21.74772,23.14423,22.2818,0.6071439,0.7327569,-0.06758564,-0.1581953,3,1,1,1.3965099999999993,0.5340799999999994
1237653665259127549,150.647567005963,2.28182721164129,22.65988,22.62212,22.80546,0.07950322,0.2441942,-1.108663,-1.124322,3,1,1,-0.037760000000002236,0.14557999999999893
1237653664722125582,150.267421739484,2.05294702043503,21.55561,24.89692,23.37099,0.2499464,1.47103,-1.04055,-1.053814,3,1,1,3.34131,1.8153799999999976
1237653665259127562,150.647500280923,2.41278926324923,20.60557,21.78254,21.0943,0.5083944,1.876594,-0.3328576,-0.5003436,3,1,1,1.1769700000000007,0.48873000000000033
1237653665259127566,150.646883134146,2.46472314262212,21.43236,22.9656,21.71889,0.4850709,1.564188,-0.08600374,-0.0838996,3,1,1,1.5332399999999993,0.28652999999999906
1237653664722125640,150.333470681864,1.97753692345908,22.10609,25.35945,24.21708,0.06246452,0.5656277,-0.07083084,-0.06201754,3,1,1,3.2533600000000007,2.110990000000001
1237653664722125659,150.356234923582,1.99938499385889,22.47776,23.05573,23.95125,0.1493496,0.2802331,-0.03008097,-0.0249507,3,1,1,0.5779700000000005,1.4734900000000017
1237653665259127598,150.661778740516,2.41709554292641,20.38383,25.26314,21.60934,0.5389044,0.4009365,-0.214698,-0.1711898,3,1,1,4.87931,1.2255099999999999
1237653664722125660,150.355434470141,2.0452205994377,21.49225,24.69354,23.22825,0.2717661,0.3789599,-1.983214,-2.093399,3,1,1,3.20129,1.7360000000000007
1237653665259127673,150.685152515507,2.2922038373791,21.29408,22.30227,21.78916,0.3575893,0.6196159,-0.0966906,-0.1146204,3,1,1,1.008189999999999,0.49507999999999797
1237653665259127695,150.68729515852,2.40253947485419,20.76717,26.45294,22.47834,0.7631462,0.6394629,-1.724568,-0.5147089,3,1,1,5.6857700000000015,1.7111699999999992
1237653665259127732,150.547890787324,2.32924720522369,22.02122,25.37394,23.85802,0.05,0.7183333,-0.346272,-0.2529506,3,1,1,3.3527200000000015,1.8368000000000002
1237653665259127801,150.600720075412,2.35185045700913,22.60601,23.78277,23.71733,0.0506659,0.3200066,-0.1662092,-0.1882561,3,1,1,1.176759999999998,1.1113199999999992
1237653665259127802,150.600368376812,2.42972271351097,21.17535,24.36237,22.5468,0.230455,1.768396,-0.7508609,-1.121989,3,1,1,3.187019999999997,1.3714499999999994
1237653665259127803,150.600873504387,2.48246304369591,22.39025,25.02963,24.4718,0.0708487,0.5463686,-0.002659907,-0.002705261,3,1,1,2.639379999999999,2.08155
1237653665259061906,150.435493110016,2.46500340142273,21.5945,22.26939,22.05181,0.3509128,1.136942,-0.4247091,-0.6430593,3,1,1,0.6748900000000013,0.45730999999999966
1237653664185385510,150.674117783174,1.59735254103029,21.93996,25.79309,22.64831,0.4072891,0.5668703,-0.000936106,-0.0008237853,3,1,1,3.85313,0.7083499999999994
1237653664185385662,150.628350724842,1.63725202030946,22.29232,23.50373,23.97155,0.2084825,0.5979803,-0.1358267,-0.1343282,3,1,1,1.2114100000000008,1.6792300000000004
1237653665259061949,150.454990935973,2.2749899478879,21.27779,23.00827,21.93333,0.7064723,0.6286517,-0.05775063,-0.1271797,3,1,1,1.73048,0.655540000000002
1237653664185385701,150.674575118476,1.60202945127879,21.65385,24.75701,23.34723,0.292587,1.066806,-0.0279193,-0.009052694,3,1,1,3.1031600000000026,1.6933800000000012
1237653664185385723,150.70669730862,1.58893128832262,22.50301,23.94305,23.58249,0.08111361,0.4996269,-0.0013293,-0.001498097,3,1,1,1.4400399999999998,1.0794800000000002
1237653665259061959,150.456041273009,2.36525717717584,20.55181,24.70552,21.91248,0.3058985,0.9349205,-0.0100107,-0.006295431,3,1,1,4.15371,1.360669999999999
1237653665259061962,150.45449340017,2.44772975306958,21.79199,23.36591,22.29041,0.05665507,0.5205184,-1.433168,-1.318792,3,1,1,1.573920000000001,0.49842000000000297
1237653665259061965,150.454207984091,2.46751857803112,21.95462,25.21457,22.83212,0.1130795,0.3789399,-0.2486462,-0.3290745,3,1,1,3.25995,0.8775000000000013
