SequentialID,ra,dec,ACS_MAG_AUTO,b_a,Re_arcsec,ELL_GIM2D,TYPE,STELLARITY
816.0,150.7313385,1.664261,22.1855602,0.38648000000000005,0.2985,0.61352,3.0,0.0
818.0,150.7309113,1.656988,22.4269943,0.78072,0.423,0.21928,2.0,0.0
819.0,150.7302246,1.649974,22.3571434,0.5607,0.335,0.4393,3.0,0.0
820.0,150.7303162,1.647477,21.5363178,0.66885,0.3785,0.33115,1.0,0.0
823.0,150.7322845,1.652575,21.3665886,0.5135700000000001,0.485,0.48643,2.0,0.0
830.0,150.7357788,1.658231,21.6014481,0.36434,0.5305,0.63566,2.0,0.0
832.0,150.7345734,1.645551,21.4769516,0.47363,0.627,0.52637,2.0,0.0
833.0,150.7380371,1.6624219,21.7592144,0.34831999999999996,0.7615,0.65168,3.0,0.0
837.0,150.7430725,1.683607,20.6301689,0.75058,0.874,0.24942,2.0,0.0
840.0,150.7388611,1.654992,21.4760113,0.983781,0.73,0.016219,2.0,0.0
852.0,150.742218,1.654286,21.9940186,0.79766,0.6705,0.20234,2.0,0.0
854.0,150.7424774,1.650708,22.4179802,0.35163,0.419,0.64837,2.0,0.0
857.0,150.7429047,1.649201,22.0059376,0.18015000000000003,0.5855,0.81985,2.0,0.0
867.0,150.746521,1.650274,22.9894085,0.44999,0.427,0.55001,2.0,0.0
868.0,150.7492981,1.665766,21.7438221,0.38537999999999994,0.2735,0.61462,2.0,0.0
870.0,150.7466888,1.650396,23.2873993,0.52858,0.6695,0.47142,2.0,0.0
878.0,150.750351,1.657577,21.6438828,0.31677999999999995,0.514,0.68322,2.0,0.0
882.0,150.7494812,1.642854,22.3028851,0.89252,0.712,0.10748,2.0,0.0
911.0,150.7404938,1.595013,20.0836868,0.33555999999999997,1.0085,0.66444,2.0,0.0
912.0,150.741745,1.601132,21.8179893,0.24239,0.3505,0.75761,2.0,0.0
914.0,150.743988,1.61611,21.6304188,0.51458,0.5615,0.48542,3.0,0.0
916.0,150.7403717,1.595988,21.824564,0.85924,0.2275,0.14076,2.0,0.0
918.0,150.7456055,1.6303149,19.2419415,0.31044000000000005,1.744,0.68956,2.0,0.0
927.0,150.7377625,1.5986331,22.3968105,0.78207,0.38,0.21793,3.0,0.0
932.0,150.7395477,1.624656,21.5242729,0.8481,0.3205,0.1519,2.0,0.0
945.0,150.7270813,1.589457,23.2513599,0.32009,0.326,0.67991,2.0,0.0
946.0,150.7266541,1.589578,22.3618965,0.13934000000000002,1.289,0.86066,2.0,0.0
951.0,150.7277832,1.6019681,21.5524368,0.75429,0.6385,0.24571,2.0,0.0
952.0,150.7254944,1.596977,21.7583447,0.65222,0.457,0.34778,2.0,0.0
954.0,150.7284393,1.6147979,22.4425774,0.45559000000000005,0.626,0.54441,3.0,0.0
966.0,150.7250519,1.607218,22.46101,0.48084000000000005,0.3975,0.51916,2.0,0.0
968.0,150.7253571,1.611833,20.9600773,0.926921,0.4735,0.073079,2.0,0.0
970.0,150.7272186,1.621816,21.8470936,0.75905,0.4435,0.24095,2.0,0.0
977.0,150.7268524,1.634644,21.1618729,0.19260999999999995,0.8855,0.80739,2.0,0.0
981.0,150.7199554,1.6117409,18.7117386,0.83217,0.9645,0.16783,2.0,0.0
985.0,150.7183838,1.603798,22.2379227,0.6428,0.402,0.3572,3.0,0.0
989.0,150.7198334,1.617679,22.3424397,0.60207,0.2975,0.39793,2.0,0.0
995.0,150.7207336,1.628653,21.9692345,0.8181700000000001,0.217,0.18183,2.0,0.0
998.0,150.7212372,1.637347,20.9073105,0.7309,0.4655,0.2691,3.0,0.0
1007.0,150.7138367,1.606375,21.3751488,0.4546,0.8145,0.5454,2.0,0.0
1014.0,150.7105713,1.605405,20.1958389,0.61008,1.0165,0.38992,3.0,0.0
1016.0,150.7092133,1.597483,22.4663258,0.69614,0.45,0.30386,2.0,0.0
1021.0,150.7135468,1.626114,21.8086071,0.71012,0.288,0.28988,1.0,0.0
1022.0,150.7066803,1.588931,21.0163612,0.87127,0.7885,0.12873,3.0,0.0
1031.0,150.7112274,1.627472,21.6755257,0.85713,0.323,0.14287,1.0,0.0
1033.0,150.7095184,1.6233031,20.3673096,0.48014,0.796,0.51986,2.0,0.0
1041.0,150.704834,1.609969,21.5810528,0.89968,0.3155,0.10032,1.0,0.0
1045.0,150.7030487,1.606337,21.6741829,0.84077,0.366,0.15923,2.0,0.0
1049.0,150.6998291,1.60072,22.1683083,0.32087,0.7225,0.67913,2.0,0.0
1054.0,150.7010193,1.617043,22.1516209,0.66481,0.2915,0.33519,3.0,0.0
1068.0,150.6992493,1.638732,20.8355808,0.76345,0.475,0.23655,2.0,0.0
1069.0,150.6987762,1.638409,20.9340343,0.923417,0.348,0.076583,2.0,0.0
1072.0,150.6935425,1.6096621,22.8544846,0.32613000000000003,0.5565,0.67387,2.0,0.0
1073.0,150.6933289,1.6096261,22.3522682,0.88675,0.244,0.11325,1.0,0.0
1078.0,150.6885834,1.59197,20.8570919,0.40847999999999995,0.868,0.59152,3.0,0.0
1080.0,150.6905212,1.605499,21.2587738,0.22211999999999998,0.7375,0.77788,2.0,0.0
1082.0,150.6916504,1.615813,21.9510899,0.33575,0.3785,0.66425,3.0,0.0
1084.0,150.6889038,1.602634,20.1995659,0.944396,0.915,0.055604,2.0,0.0
1085.0,150.6918182,1.62296,22.0650749,0.17486999999999997,0.763,0.82513,2.0,0.0
1090.0,150.6919708,1.630028,20.455431,0.68536,0.426,0.31464,1.0,0.0
1102.0,150.6829834,2.7879159,22.2620449,0.27463000000000004,0.5,0.72537,2.0,0.0
1103.0,150.6875,2.8100159,19.4772625,0.68865,0.9025,0.31135,2.0,0.0
1111.0,150.6859131,2.7899389,22.4748268,0.5666100000000001,0.4525,0.43339,2.0,0.0
1115.0,150.6904907,2.8084619,22.3727055,0.79792,0.1345,0.20208,2.0,0.0
1119.0,150.6920776,2.811435,21.7785797,0.71241,0.536,0.28759,2.0,0.0
1125.0,150.6944885,2.815064,22.1262608,0.52813,0.4975,0.47187,2.0,0.0
1127.0,150.6977234,2.83006,20.3710899,0.30377,1.3015,0.69623,2.0,0.0
1131.0,150.6963654,2.8138349,22.1755962,0.49492,0.451,0.50508,2.0,0.0
1136.0,150.6976776,2.815155,21.6582279,0.41018,0.3305,0.58982,3.0,0.0
1137.0,150.7006683,2.831913,20.1883583,0.32499,0.859,0.67501,2.0,0.0
1138.0,150.69841,2.818454,20.6026077,0.5123800000000001,0.616,0.48762,2.0,0.0
1139.0,150.7005463,2.8298891,22.1086712,0.67662,0.4035,0.32338,2.0,0.0
1141.0,150.6940765,2.7919841,21.602459,0.32481000000000004,0.2215,0.67519,2.0,0.0
1146.0,150.6929474,2.781389,21.1725693,0.21869000000000005,0.6035,0.78131,2.0,0.0
1149.0,150.7026215,2.831073,20.4096832,0.55985,0.6965,0.44015,2.0,0.0
1151.0,150.6944885,2.7815859,21.6979008,0.32386000000000004,0.647,0.67614,2.0,0.0
1163.0,150.6996307,2.797194,22.3900623,0.5248999999999999,0.3995,0.4751,2.0,0.0
1165.0,150.7011261,2.803025,22.1984062,0.33529,0.7495,0.66471,2.0,0.0
