objid,ra,dec,modelmag_r,modelmag_u,expab_r,devab_r,lnlexp_r,lnldev_r,lnlstar_r,fracdev_r,score,nnavgz
1237651752923103919,149.278083086736,1.2505174877638,20.28641,22.49751,0.4672346,0.3793603,-0.33542,-0.6367611,-27.71894,0.2654033,0.8225052,0.263418
1237651752923169005,149.382108684536,1.21253585413959,17.6601,20.48293,0.6107978,0.574267,-301.7055,-17.60779,-1947.805,1.0,0.8202873,0.091273
1237651752923169125,149.277689194296,1.3998873561827,20.55717,21.91065,0.672586,0.5706128,-0.004682863,-0.09698917,-13.55325,0.0,0.8202873,0.308262
1237651752923169316,149.383031270867,1.24762831143033,20.39163,22.06998,0.8405421,0.8020408,-0.8488428,-3.795615,-28.91915,0.0,0.8202873,0.409209
1237651752923169321,149.38143171492,1.35270252184519,20.73228,23.43283,0.7627262,0.79538,-0.1470556,-0.1447715,-1.083774,0.811125,0.8202873,0.417433
1237651752923234578,149.49658683679,1.20280091302263,20.92642,21.87802,0.3588179,0.2499639,-0.05291254,-0.1421071,-2.443705,0.0,0.804253,0.484382
1237651752923234582,149.497210325816,1.39918512729333,19.39886,21.05203,0.5831565,0.5112165,-0.3328401,-17.24731,-239.5959,0.0,0.804253,0.278422
1237651752923299940,149.727719134194,1.27438654079538,19.70274,22.59955,0.6377472,0.5999997,-1.811225,-0.3056031,-45.13133,0.9445832,0.8131709,0.307798
1237651752923299961,149.614005421362,1.38628086425606,18.24598,21.01871,0.7890515,0.7385836,-32.61962,-4.446317,-874.3921,0.8291915,0.8131709,0.107219
1237651752923365786,149.725759126121,1.40817682553384,20.64482,22.39335,0.7679837,0.5837944,-0.701826,-0.2029048,-3.541393,1.0,0.8374143,0.502564
1237651752923366072,149.840522902192,1.24153357894073,20.76951,23.32096,0.2954075,0.2039733,-0.04594595,-0.03898497,-1.545621,0.8625384,0.8374143,0.379051
1237651752923366074,149.840256720667,1.26642043958223,19.66655,22.61239,0.7264832,0.7004163,-2.05413,-0.0322468,-56.72346,1.0,0.8374143,0.405833
1237651752923366081,149.84078963093,1.27723017746038,19.96703,22.59043,0.5946026,0.5322158,-2.34128,-1.461169,-25.29107,0.8912676,0.8374143,0.207566
1237651752923366085,149.842375733033,1.32442469618779,20.89444,22.73257,0.264286,0.1505066,-0.0294682,-0.2238541,-9.402796,0.0,0.8374143,0.261598
1237651752923366089,149.840718897049,1.39165627172899,20.95443,23.26642,0.2741268,0.1939982,-0.08068336,-0.3899929,-7.728446,0.0,0.8374143,0.4534
1237651752923431479,149.94553576832,1.22891579738747,20.59612,22.20254,0.731659,0.5181207,-0.328352,-0.28631,-6.774231,0.7079161,0.8418946,0.293167
1237651752923496770,150.05768356022,1.26904317345617,20.33712,21.54775,0.704731,0.711745,-0.01137922,-0.01977052,-2.79275,0.2976713,0.8342007,0.1683
1237651752923496947,150.058381525356,1.40807019639274,20.9749,22.62389,0.5653461,0.4999484,-0.08848897,-0.3215529,-5.064949,0.0,0.8342007,0.40813
1237651753459646795,148.495622071971,1.62019630663089,16.80982,18.91853,0.8483784,0.8403268,-196.0953,-1366.129,-9558.864,0.0,0.8341436,0.060256
1237651753459646844,148.495337023997,1.75385881152514,18.70235,20.3473,0.5312713,0.4616745,-9.436977,-82.06847,-941.2252,0.0,0.8341436,0.134066
1237651753459646893,148.383737304572,1.61896733971628,19.16224,22.2605,0.6910152,0.6456777,-0.8114464,-0.5121343,-224.7913,0.6191629,0.8341436,0.254604
1237651753459647202,148.495299068466,1.63556784684603,20.61571,25.03487,0.4670572,0.6139988,-0.02680243,-0.01980691,-4.112727,0.6810079,0.8341436,0.355767
1237651753459647343,148.384571065541,1.73503357433201,20.60551,23.03809,0.2000487,0.1499646,-0.9063696,-0.6253657,-8.721443,0.9017987,0.8341436,0.460233
1237651753459712631,148.61232444464,1.80436067353631,20.71827,23.68711,0.3243308,0.3499736,-1.641515,-1.231082,-9.014131,0.8576804,0.8407311,0.324709
1237651753459843329,148.839453898815,1.75966773290941,18.45744,21.5116,0.8336503,0.8676646,-81.74417,-10.7868,-658.9944,1.0,0.8182914,0.205591
1237651753459843370,148.838303309373,1.71551742884677,19.52972,20.85637,0.3231979,0.2324975,-0.2253748,-5.665599,-181.9288,0.0,0.8182914,0.121273
1237651753459843483,148.839102458761,1.76254802943913,19.63623,21.83885,0.6371148,0.614733,-0.3232373,-1.89989,-147.548,0.3398721,0.8182914,0.301562
1237651753459843486,148.838814980567,1.79898904033265,20.65673,25.81451,0.6764448,0.6501268,-1.613211,-1.347291,-2.349377,0.9900961,0.8182914,0.358227
1237651753459843771,148.958683358629,1.72033864711075,20.91721,22.19846,0.6966369,0.4141507,-0.2779442,-1.118342,-8.788715,0.0,0.8182914,0.350747
1237651753459843945,148.959665331045,1.80328965206509,20.87677,26.50069,0.5242164,0.2845964,-2.84511,-1.74743,-5.644365,1.0,0.8182914,0.343556
1237651753459909171,149.083733502475,1.8041665094643,20.65319,22.82361,0.7001246,0.6316404,-0.4581145,-2.351418,-22.23522,0.0,0.8247496,0.394315
1237651753459974283,149.215469244501,1.6437447325573,20.79467,26.28213,0.4362407,0.6409817,-0.7744122,-0.5044085,-0.8568206,0.8653362,0.8257625,0.220533
1237651753459974286,149.21396961136,1.67529373874886,20.90292,22.62666,0.4705122,0.4028156,-0.009450126,-0.02895831,-1.484032,0.0,0.8257625,0.182947
1237651753460040330,149.332642533343,1.66477566499979,18.94628,20.61573,0.5823374,0.2626686,-16.71908,-7.987664,-17.9251,0.618368,0.8196828,0.377406
1237651753460040337,149.333738420497,1.79940826707984,19.38171,22.11527,0.6235688,0.6788386,-6.397694,-2.872681,-29.69455,1.0,0.8196828,0.138243
1237651753460105990,149.569301751677,1.62202975426905,20.1206,22.65135,0.5612267,0.4414007,-0.9380522,-2.728166,-46.56569,0.01557315,0.8094532,0.391568
1237651753460171321,149.687857384938,1.64307519509827,20.93063,22.1997,0.6077262,0.711986,-0.1055484,-0.316657,-4.369113,0.0,0.8159071,0.414927
1237651753460171520,149.687892447224,1.793862010574,20.72953,23.82413,0.4899047,0.4862971,-0.9369088,-0.7529734,-2.786882,0.9617022,0.8159071,0.218717
1237651753460236820,149.797851984012,1.70203464287568,19.28202,23.74522,0.6777342,0.6592531,-5.690421,-0.4900767,-156.0323,0.9231441,0.8339123,0.388007
1237651753460236821,149.797721553385,1.74007687399491,19.74776,22.61965,0.9998313,0.9988239,-0.4617957,-0.4033772,-9.425088,0.9099124,0.8339123,
1237651753460302224,149.91056238493,1.78650287522005,20.51019,22.61866,0.4164324,0.3259541,-0.5558844,-0.3731905,-13.73492,0.8310215,0.8519427,0.337032
1237651753460302225,149.910917537638,1.77987101108194,20.38518,23.42251,0.4221102,0.3797016,-0.6883458,-1.428257,-32.75024,0.1835573,0.8519427,0.32078
1237651753460302226,149.910361681694,1.81424251665996,20.49524,22.38839,0.6613448,0.6298943,-0.8018361,-2.406938,-27.03435,0.0,0.8519427,0.364832
1237651753460367652,150.14125592771,1.63790233703286,20.90824,26.07618,0.2413135,0.174431,-0.01853701,-0.003381058,-1.03278,1.0,0.8417715,0.508628
1237651753460367700,150.025985063486,1.68134631485323,20.95172,25.50974,0.7090891,0.8372729,-0.09964024,-0.05300697,-1.20421,0.9850241,0.8417715,0.428592
1237651753460367968,150.141723051923,1.67643522678842,20.46092,23.04863,0.9105664,0.9076232,-0.2831275,-0.2034399,-7.242822,0.7864682,0.8417715,0.380964
1237651753460367973,150.142207442888,1.68671493896299,20.90727,21.76226,0.3367247,0.445736,-0.1007958,-0.05614657,-0.8807324,0.836523,0.8417715,0.442502
1237651753460367976,150.141473785084,1.74486860340011,20.49238,22.38608,0.6481724,0.572541,-0.1393964,-0.3675719,-19.7659,0.1696692,0.8417715,0.145377
1237651753460367985,150.140867223258,1.83266081027899,19.96955,23.19265,0.5560741,0.508635,-0.1370192,-4.941837,-96.0969,0.0,0.8417715,0.241967
1237651753460368065,150.027505617442,1.63668484136733,20.65038,22.28463,0.3999182,0.3852178,-0.1116298,-0.1046705,-2.759654,0.5113167,0.8417715,0.511834
1237651753460433611,150.260157010451,1.68282277305502,20.25443,24.25426,0.3027795,0.271057,-1.392865,-0.7094519,-24.69487,0.9287646,0.8400945,0.364466
1237651753460433613,150.259210738523,1.78120792549549,19.90056,22.01973,0.53753,0.4812681,-0.1119188,-4.359723,-113.034,0.0,0.8400945,0.363255
1237651753460498718,150.374097929421,1.8484334135158,20.12818,21.43542,0.8598861,0.8339148,-0.4886871,-1.790854,-45.76821,0.2336104,0.8429209,0.193929
1237651753460564365,150.487917376034,1.84425076042342,20.1705,21.40102,0.3000021,0.250003,-0.2680725,-0.9582726,-61.96998,0.1655241,0.8451963,0.143917
1237651753460564585,150.60086098181,1.71969021600093,20.97231,23.04768,0.6125716,0.7138826,-0.9653609,-2.184886,-11.05388,0.0,0.8451963,0.346485
1237651753460564587,150.600815316618,1.70941862107345,20.99304,22.98906,0.4238845,0.3120531,-0.2000397,-0.3340568,-1.7378,0.0,0.8451963,0.408133
1237651753460629913,150.709776818544,1.69872114318261,19.91759,21.33535,0.7900473,0.7374045,-0.6176974,-0.5437574,-17.02001,0.8098382,0.8432692,0.29622
1237651753460695431,150.823063654416,1.8190957365324,20.65495,24.9065,0.1660707,0.1576629,-0.9231263,-0.6670614,-7.001679,0.9614069,0.8403887,0.629017
1237651753460760948,150.941914602077,1.70283514680144,19.87125,22.10076,0.7264968,0.6499059,-0.8952553,-1.374711,-84.10431,0.5677937,0.8342425,0.27301
1237651753460761211,151.054719799691,1.800710970271,20.91039,22.46407,0.2526712,0.2915178,-1.732298,-1.454222,-5.763927,0.8933741,0.8342425,0.605033
1237651753460826646,151.17981749068,1.75066308799974,20.48869,23.26926,0.4193552,0.4778999,-0.07980157,-0.0275828,-8.9639,0.8166369,0.8391097,0.379442
1237651753460826651,151.17987065501,1.80884237398578,20.54346,21.85267,0.2171454,0.1402686,-0.08933613,-0.1142533,-24.6206,0.5670379,0.8391097,0.435361
1237651753460957805,151.507039513689,1.73847999148609,18.70168,20.92091,0.363592,0.3229547,-24.99717,-30.85373,-832.6251,0.4026223,0.8349272,0.209262
1237651753460957812,151.506448284029,1.85266067378372,20.99907,24.38647,0.9500552,0.8654833,-0.6368845,-2.004754,-10.18183,0.0,0.8349272,0.341841
